,"WE Energies, 0, No Generation","WE Energies, 0, Basic Heuristic","WE Energies, 0, Predicted","WE Energies, 0, Stepped Optimized","WE Energies, 0, Fully Optimized","NEM 2.0, 0, No Generation","NEM 2.0, 0, Basic Heuristic","NEM 2.0, 0, Predicted","NEM 2.0, 0, Stepped Optimized","NEM 2.0, 0, Fully Optimized","NEM 3.0, 0, No Generation","NEM 3.0, 0, Basic Heuristic","NEM 3.0, 0, Predicted","NEM 3.0, 0, Stepped Optimized","NEM 3.0, 0, Fully Optimized","WE Energies, 13.5, No Generation","WE Energies, 13.5, Basic Heuristic","WE Energies, 13.5, Predicted","WE Energies, 13.5, Stepped Optimized","WE Energies, 13.5, Fully Optimized","NEM 2.0, 13.5, No Generation","NEM 2.0, 13.5, Basic Heuristic","NEM 2.0, 13.5, Predicted","NEM 2.0, 13.5, Stepped Optimized","NEM 2.0, 13.5, Fully Optimized","NEM 3.0, 13.5, No Generation","NEM 3.0, 13.5, Basic Heuristic","NEM 3.0, 13.5, Predicted","NEM 3.0, 13.5, Stepped Optimized","NEM 3.0, 13.5, Fully Optimized","WE Energies, 27, No Generation","WE Energies, 27, Basic Heuristic","WE Energies, 27, Predicted","WE Energies, 27, Stepped Optimized","WE Energies, 27, Fully Optimized","NEM 2.0, 27, No Generation","NEM 2.0, 27, Basic Heuristic","NEM 2.0, 27, Predicted","NEM 2.0, 27, Stepped Optimized","NEM 2.0, 27, Fully Optimized","NEM 3.0, 27, No Generation","NEM 3.0, 27, Basic Heuristic","NEM 3.0, 27, Predicted","NEM 3.0, 27, Stepped Optimized","NEM 3.0, 27, Fully Optimized"
1,251.30573352000005,71.6167832957287,71.6167832957287,71.61678329572868,71.61678329572871,577.03539577,236.42216420573627,236.42216420573627,236.42216420573627,236.42216420573618,577.03539577,342.14942857836354,342.14942857836354,342.14942857836354,342.14942857836354,251.30573352000005,87.46648161349339,71.7097090132846,66.9248987957287,66.92489879572858,577.03539577,230.3232129004719,232.18489450171109,229.5922056676191,229.55091018803887,577.03539577,276.87446470093505,280.84362101968617,275.68793554726903,275.687935547269,251.30573352000005,99.22535203333689,72.26229528272289,64.09509812917602,63.769338027834294,577.03539577,233.40329564181638,231.18087339905082,228.2542073106223,228.0883826124573,577.03539577,241.59308962755247,245.6591353291854,239.56794419701683,239.51799632901597
2,265.59648949999996,22.022713905128796,22.022713905128796,22.022713905128775,22.022713905128807,612.82497862,-10.129005588646574,-10.129005588646574,-10.129005588646574,-10.129005588646585,612.82497862,282.0361061301986,282.0361061301986,282.0361061301986,282.03610613019873,265.59648949999996,9.653591851367652,8.715617922782824,8.504976698067324,7.014863879865651,612.82497862,-20.759770140944635,-20.698876265788137,-21.348274201309344,-21.348274201309216,612.82497862,160.23877225305716,161.7163675121906,159.74069398058393,159.74069398058396,265.59648949999996,-0.9895493158071682,1.6130037953739809,0.7340771043077963,-3.9508801290189233,612.82497862,-23.795333905478955,-23.993832216520623,-24.802881279282076,-24.873404357242286,612.82497862,63.966357627787346,80.27625988006217,63.66994472214367,62.899471287153766
3,257.66615998,40.610574369979176,40.610574369979176,40.61057436997919,40.61057436997921,621.1312576099999,79.3397147446575,79.3397147446575,79.33971474465744,79.33971474465741,621.1312576099999,348.14310930995185,348.14310930995185,348.14310930995185,348.1431093099519,257.66615998,28.572815818962226,28.687547425616593,26.956849757146053,24.511265834683098,621.1312576099999,69.04520334719824,69.3402577089882,68.30031952537979,68.26304916861727,621.1312576099999,226.1163181775081,238.00997048412788,224.2517005453545,224.25170054535462,257.66615998,23.150952528829816,23.69855057646581,23.375480264564956,16.54672751327604,621.1312576099999,71.87118523019716,68.01618481612451,65.61605948105975,65.52992067013913,621.1312576099999,160.05689227615872,170.3520333094564,157.1153800452192,156.15681369785494
4,180.43846314,-14.09125267638958,-14.09125267638958,-14.09125267638958,-14.09125267638965,449.03526454999997,-181.3840068182166,-181.3840068182166,-181.3840068182166,-181.38400681821685,449.03526454999997,237.66302358517154,237.66302358517154,237.66302358517154,237.66302358517157,180.43846314,-25.28664203113194,-22.98276739172602,-24.431294542249244,-25.907418988461494,449.03526454999997,-195.3415146324066,-194.38943048372437,-195.63635419589764,-195.6429485558976,449.03526454999997,93.96505352237003,100.77275075496972,91.58835588924333,91.58835588924336,180.43846314,-22.630788238151318,-24.660022046969704,-24.592401107611284,-25.907418988461494,449.03526454999997,-195.44835919241493,-197.40919384699322,-199.72681803596288,-199.85572178348417,449.03526454999997,6.841257399853257,41.45076841051216,2.5698707054946786,0.19542817087944456
5,166.23401884,-18.515086033481587,-18.515086033481587,-18.515086033481598,-18.515086033481598,432.75174963999996,-243.18062243277325,-243.18062243277325,-243.1806224327733,-243.18062243277308,432.75174963999996,220.08128623310844,220.08128623310844,220.0812862331085,220.08128623310847,166.23401884,-33.131390130401414,-31.66061243399468,-32.56538884402412,-33.68456710715366,432.75174963999996,-256.4071036863409,-256.8626973876168,-257.9244340973434,-257.92443409734335,432.75174963999996,73.93368331254312,75.72183263478419,71.472492602881,71.472492602881,166.23401884,-30.07702364453279,-32.409886218334634,-33.54488284414576,-33.68456710715366,432.75174963999996,-255.3459650954398,-259.06027886779736,-262.2427422375095,-262.3895829089437,432.75174963999996,-0.907652297611276,25.382401348541098,-10.395071144778486,-10.806638125738388
6,155.94321996,-47.25876209544796,-47.25876209544796,-47.25876209544796,-47.258762095448,538.87872974,-286.83941185511156,-286.83941185511156,-286.8394118551115,-286.83941185511196,538.87872974,265.2654022106811,265.2654022106811,265.2654022106811,265.26540221068115,155.94321996,-53.069293434268786,-52.96001719098184,-53.39747960735165,-54.614615315108615,538.87872974,-351.51666155091436,-356.9079703922304,-363.0580027044042,-363.058002704404,538.87872974,61.4223079889706,63.40679935546049,60.617624484114934,60.617624484114934,155.94321996,-47.413663810667394,-53.99800130083032,-54.42344893800352,-54.614615315108615,538.87872974,-356.10466543967095,-367.1458201998289,-380.042477661898,-380.0424776618979,538.87872974,-30.688479888989463,-8.645671183171718,-34.76498234911459,-34.7649823491146
7,180.43964068,-27.07196400025162,-27.07196400025162,-27.07196400025162,-27.07196400025159,611.1546636600001,-167.29676063045895,-167.29676063045895,-167.29676063045895,-167.29676063045906,611.1546636600001,322.4625357310926,322.4625357310926,322.4625357310926,322.4625357310926,180.43964068,-34.78720873946438,-34.851708334890475,-37.660985835685025,-37.83662621922485,611.1546636600001,-238.20234375180385,-249.73138011091848,-252.01680349575017,-252.0168034957502,611.1546636600001,108.89875775735699,109.2112385442509,108.28259910435304,108.28259910435301,180.43964068,-31.06233487189304,-36.601550372509394,-37.63427998871537,-37.83662621922485,611.1546636600001,-244.1353584052143,-266.70061892698124,-271.9233644610099,-271.92336446100995,611.1546636600001,-17.03153192176344,-17.643941928018158,-37.49583249087344,-37.783161533403494
8,169.64325214000002,-28.95137933407189,-28.95137933407189,-28.95137933407192,-28.951379334072,583.4915749,-191.090580726265,-191.090580726265,-191.090580726265,-191.0905807262648,583.4915749,294.62895039968134,294.62895039968134,294.62895039968134,294.62895039968134,169.64325214000002,-37.14702368142113,-38.776846932210326,-40.74212965683965,-41.2333181423791,583.4915749,-262.825855952655,-268.12423487179376,-273.49304217316865,-273.49304217316876,583.4915749,83.66631299523561,39.1968288311262,-10.022678342732299,-37.1126820027323,169.64325214000002,-35.96353898043865,-40.2486224839838,-41.107514933830714,-41.2333181423791,583.4915749,-268.20215991887085,-280.456642855699,-294.63864224263307,-294.6386422426333,583.4915749,-26.310868379419354,-170.93102784344526,-192.57262385705968,-219.66262751705975
9,151.38774436,-36.31861839927441,-36.31861839927441,-36.31861839927442,-36.31861839927439,529.90327288,-194.72153423316468,-194.72153423316468,-194.72153423316485,-194.72153423316516,529.90327288,282.73389476128375,282.73389476128375,282.73389476128375,282.73389476128375,151.38774436,-39.59864125000837,-41.14282447092876,-41.298313559127884,-41.875295916640844,529.90327288,-262.9561366044772,-266.7542188717488,-271.97100298338705,-271.9710029833872,529.90327288,76.25242826661443,-613.3149866271362,-680.6402972227424,-1080.8749277127426,151.38774436,-33.542772482042174,-40.43451931559774,-40.86201705723988,-41.875295916640844,529.90327288,-267.1240796020614,-277.5751889698743,-287.4621321129621,-287.47821964465953,529.90327288,-21.610314976179193,-1388.024596988239,-1454.0369578154578,-1864.3534316754578
10,165.72974218,-9.409985709306422,-9.409985709306422,-9.40998570930643,-9.409985709306408,418.18372403,-160.32421353629422,-160.32421353629422,-160.32421353629434,-160.32421353629422,418.18372403,204.97995696531876,204.97995696531876,204.97995696531876,204.97995696531882,165.72974218,-21.97633735468607,-21.958602442044658,-23.038006080912652,-23.89372594878315,418.18372403,-177.0662395403359,-176.81709686788423,-177.08577419033608,-177.08577419033628,418.18372403,64.77439384566689,67.97223143407265,64.16098727196992,64.16098727196992,165.72974218,-20.51812702496551,-23.037583182627163,-23.764954797816745,-23.89372594878315,418.18372403,-176.97394078895456,-181.00124675212294,-182.2192088556908,-182.27824196831105,418.18372403,-19.298678735083673,-4.547428556191047,-22.550153214479643,-22.550153214479657
11,218.55529976000003,24.853310616576046,24.853310616576046,24.85331061657604,24.853310616575996,509.35714369000004,39.01860217562159,39.01860217562159,39.018602175621545,39.01860217562159,509.35714369000004,259.51220295294286,259.51220295294286,259.5122029529428,259.51220295294286,218.55529976000003,16.75878690280817,15.930199216139485,9.539517405866288,8.894486759803126,509.35714369000004,30.90303622794395,29.58555866676303,27.439183217139206,27.424505577670164,509.35714369000004,152.1983006336763,152.43663643669737,151.0243812964988,151.02438129649883,218.55529976000003,11.642891589198378,12.107019412523316,5.549136614844723,4.369188364045357,509.35714369000004,32.89287083004599,26.773236425603688,24.638979958872397,24.511303531401516,509.35714369000004,89.16109199307526,99.1711349005671,87.57542798504875,87.00075787611502
12,317.62172522000003,78.74417131950234,78.74417131950234,78.74417131950233,78.74417131950233,748.29298419,279.59301900155486,279.59301900155486,279.59301900155475,279.59301900155504,748.29298419,432.4472545046138,432.4472545046138,432.4472545046138,432.4472545046138,317.62172522000003,87.02643772810134,75.84127301074038,76.22439877364384,74.1895905552808,748.29298419,274.2006116087589,272.9797523997082,269.87163850497194,269.7214492538968,748.29298419,338.819637594648,346.9730920648544,336.43127475842186,336.37176506568915,317.62172522000003,108.00567785387244,76.52910401935658,75.94660380798155,74.1895905552808,748.29298419,276.9949685932825,271.32773354281863,267.6158229082337,267.04702008286273,748.29298419,289.0053127883253,292.9199231842695,285.62654057564527,285.14560421004256
